ContributorGroup,ContributionAmount,ContributorName,Employer,Occupation,Date,Location
Corporate,2600.0,nan nan,,,2024-03-27,"NEW YORK, NY"
Corporate,3000.0,nan nan,,,2024-01-23,"JERSEY CITY, NJ"
Corporate,2000.0,nan nan,,,2024-02-05,"SOUTH HACKENSACK, NJ"
Corporate,3000.0,nan nan,,,2024-02-14,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-03-06,"SPRINGFIELD, NJ"
Corporate,2500.0,nan nan,,,2024-03-19,"SPRINGFIELD, NJ"
Corporate,4000.0,nan nan,,,2024-01-16,"JERSEY CITY, NJ"
Corporate,0.0,nan nan,,,2024-01-02,"FLUSHING, NY"
Corporate,4000.0,nan nan,,,2024-01-03,"NORTH BERGEN, NJ"
Corporate,4000.0,nan nan,,,2024-01-03,"WHIPPANY, NJ"
Corporate,2500.0,nan nan,,,2024-03-01,"WALL, NJ"
Corporate,5000.0,nan nan,,,2024-02-29,"PHILADELPHIA, PA"
Corporate,5000.0,nan nan,,,2024-02-02,"JERSEY CITY, NJ"
Corporate,5200.0,nan nan,,,2024-03-13,"HOBOKEN, NJ"
Corporate,5200.0,nan nan,,,2024-02-13,"SOUTH HACKENSACK, NJ"
Corporate,5200.0,nan nan,,,2024-03-06,"HARRISON, NJ"
Corporate,2600.0,nan nan,,,2024-03-01,"LIVINGSTON, NJ"
Corporate,3000.0,nan nan,,,2024-02-22,"LIVINGSTON, NJ"
Corporate,2000.0,nan nan,,,2024-03-25,"LIVINGSTON, NJ"
Corporate,2000.0,nan nan,,,2024-03-26,"LIVINGSTON, NJ"
Corporate,5200.0,nan nan,,,2024-03-15,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2023-12-05,"JERSEY CITY, NJ"
Corporate,250.0,nan nan,,,2023-12-12,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2023-12-19,"WOODBRIDGE, NJ"
Corporate,500.0,nan nan,,,2023-12-19,"MONROE TOWNSHIP, NJ"
Corporate,750.0,nan nan,,,2023-12-18,"EDISON, NJ"
Corporate,1000.0,nan nan,,,2023-11-10,"SECAUCUS, NJ"
Corporate,1000.0,nan nan,,,2023-11-09,"CLIFFSIDE PARK, NJ"
Corporate,1000.0,nan nan,,,2023-11-13,"UNION CITY, NJ"
Corporate,1000.0,nan nan,,,2023-11-28,"CLIFTON, NJ"
Corporate,1000.0,nan nan,,,2023-11-17,"SOUTH HACKENSACK, NJ"
Corporate,1000.0,nan nan,,,2023-11-19,"UNION CITY, NJ"
Corporate,1000.0,nan nan,,,2023-12-04,"VOORHEES, NJ"
Corporate,1000.0,nan nan,,,2023-12-05,"NORTH BERGEN, NJ"
Corporate,1000.0,nan nan,,,2023-12-07,"EDISON, NJ"
Corporate,1000.0,nan nan,,,2023-12-01,"CHERRY HILL, NJ"
Corporate,1000.0,nan nan,,,2023-12-20,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2023-12-20,"PATERSON, NJ"
Corporate,1000.0,nan nan,,,2023-11-03,"WALL, NJ"
Corporate,2000.0,nan nan,,,2023-11-22,"MIDDLETOWN, NJ"
Corporate,1000.0,nan nan,,,2023-12-20,"WALL, NJ"
Corporate,1000.0,nan nan,,,2024-09-18,"MONROE TOWNSHIP, NJ"
Corporate,2500.0,nan nan,,,2024-08-29,"HACKENSACK, NJ"
Corporate,2500.0,nan nan,,,2024-09-25,"TOMS RIVER, NJ"
Corporate,3200.0,nan nan,,,2024-07-18,"LONG ISLAND CITY, NY"
Corporate,2500.0,nan nan,,,2024-09-20,"OLD BRIDGE, NJ"
Corporate,5200.0,nan nan,,,2024-09-02,"VOORHEES, NJ"
Corporate,-4900.0,nan nan,,,2024-07-02,"LONG ISLAND CITY, NY"
Corporate,600.0,nan nan,,,2024-12-02,"UNION CITY, NJ"
Corporate,500.0,nan nan,,,2024-12-09,"UNION CITY, NJ"
Corporate,500.0,nan nan,,,2024-12-10,"UNION CITY, NJ"
Corporate,300.0,nan nan,,,2024-12-11,"WESTWOOD, NJ"
Corporate,300.0,nan nan,,,2024-12-06,"JERSEY CITY, NJ"
Corporate,500.0,nan nan,,,2024-12-06,"UNION CITY, NJ"
Corporate,600.0,nan nan,,,2024-12-11,"UNION CITY, NJ"
Corporate,1200.0,nan nan,,,2024-12-11,"HACKENSACK, NJ"
Corporate,600.0,nan nan,,,2024-12-11,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-11-18,"UNION CITY, NJ"
Corporate,1000.0,nan nan,,,2024-10-28,"ALLENWOOD, NJ"
Corporate,1000.0,nan nan,,,2024-12-01,"NEWARK, NJ"
Corporate,1200.0,nan nan,,,2024-12-17,"MIDLAND PARK, NJ"
Corporate,500.0,nan nan,,,2024-12-31,"JERSEY CITY, NJ"
Corporate,1000.0,nan nan,,,2024-12-10,"WAYNE, NJ"
Corporate,2500.0,nan nan,,,2023-11-09,"SECAUCUS, NJ"
Corporate,2500.0,nan nan,,,2023-12-16,"SECAUCUS, NJ"
Corporate,2500.0,nan nan,,,2023-12-18,"OLD BRIDGE, NJ"
Corporate,2500.0,nan nan,,,2023-12-19,"WOODBRIDGE, NJ"
Corporate,2500.0,nan nan,,,2023-12-28,"HACKENSACK, NJ"
Corporate,2500.0,nan nan,,,2023-11-09,"EDISON, NJ"
Corporate,5000.0,nan nan,,,2023-12-08,"MOONACHIE, NJ"
Corporate,5000.0,nan nan,,,2023-12-14,"BELLEVILLE, NJ"
Corporate,5000.0,nan nan,,,2023-12-14,"EAST ORANGE, NJ"
Corporate,2500.0,nan nan,,,2023-12-19,"EDISON, NJ"
Corporate,5200.0,nan nan,,,2023-11-09,"HOLMDEL, NJ"
Corporate,5200.0,nan nan,,,2023-11-14,"JACKSON, MS"
Corporate,5200.0,nan nan,,,2023-12-05,"JERSEY CITY, NJ"
Corporate,5200.0,nan nan,,,2023-12-12,"BLOOMINGDALE, NJ"
Corporate,5200.0,nan nan,,,2023-12-20,"ROSELAND, NJ"
Political Committee,10000.0,nan nan,,,2024-06-30,"UNION CITY, NJ"
Political Committee,5000.0,nan nan,,,2024-06-30,"UNION CITY, NJ"
Political Committee,500.0,nan nan,,,2024-01-28,"WOODLAND PARK, NJ"
Political Committee,500.0,nan nan,,,2024-01-28,"WOODLAND PARK, NJ"
Corporate,1000.0,nan nan,,,2024-09-25,"HAMILTON, NJ"
Corporate,1000.0,nan nan,,,2024-02-27,"BORDENTOWN, NJ"
Corporate,1000.0,nan nan,,,2024-01-30,"BORDENTOWN, NJ"
Corporate,1000.0,nan nan,,,2024-03-31,"BORDENTOWN, NJ"
Corporate,2500.0,nan nan,,,2024-03-31,"ALLENWOOD, NJ"
Corporate,2500.0,nan nan,,,2024-03-31,"ALLENWOOD, NJ"
Union,1000.0,nan nan,,,2023-11-28,"BAYONNE, NJ"
Union,2500.0,nan nan,,,2023-12-05,"RAHWAY, NJ"
Union,1000.0,nan nan,,,2024-09-20,"FARMINGDALE, NJ"
Union,500.0,nan nan,,,2024-05-16,"FLEMINGTON, NJ"
Union,1000.0,nan nan,,,2024-06-17,"RAHWAY, NJ"
Union,5000.0,nan nan,,,2024-04-11,"SPRINGFIELD, NJ"
Union,2500.0,nan nan,,,2024-05-24,"NEWARK, NJ"
Union,250.0,nan nan,,,2024-03-12,"OAKHURST, NJ"
Union,350.0,nan nan,,,2024-03-28,"LITTLE FALLS, NJ"
Union,500.0,nan nan,,,2024-03-20,"TRENTON, NJ"
Union,1000.0,nan nan,,,2024-03-04,"FARMINGDALE, NJ"
Union,1000.0,nan nan,,,2024-02-26,"RAHWAY, NJ"
Union,1500.0,nan nan,,,2024-02-16,"TRENTON, NJ"
Union,5200.0,nan nan,,,2024-03-31,"EDISON, NJ"
Union,8200.0,nan nan,,,2024-03-04,"KENILWORTH, NJ"
Union,8200.0,nan nan,,,2024-02-21,"HAMMONTON, NJ"
Union,10000.0,nan nan,,,2024-03-18,"WOODBRIDGE, NJ"
Union,16400.0,nan nan,,,2024-01-12,"IRVINGTON, NJ"
Union,1000.0,nan nan,,,2023-11-09,"WOODBRIDGE, NJ"
Union,2500.0,nan nan,,,2023-12-14,"WASHINGTON, DC"
Union,5200.0,nan nan,,,2023-12-05,"NEWARK, NJ"
Union,8200.0,nan nan,,,2023-12-01,"KENILWORTH, NJ"
Union,8200.0,nan nan,,,2023-11-29,"HAMMONTON, NJ"
Union,16400.0,nan nan,,,2023-12-05,"EAST BRUNSWICK, NJ"
Interest Group,1000.0,nan nan,,,2024-08-05,"WASHINGTON, DC"
Interest Group,2000.0,nan nan,,,2024-06-30,"PARAMUS, NJ"
Interest Group,2500.0,nan nan,,,2024-04-03,"WASHINGTON, DC"
Interest Group,500.0,nan nan,,,2024-03-25,"TRENTON, NJ"
Interest Group,1000.0,nan nan,,,2024-03-14,"CRANFORD, NJ"
Interest Group,1000.0,nan nan,,,2024-03-31,"MANASQUAN, NJ"
Interest Group,2500.0,nan nan,,,2024-02-27,"BORDENTOWN, NJ"
Interest Group,2500.0,nan nan,,,2024-03-29,"TOMS RIVER, NJ"
Interest Group,2700.0,nan nan,,,2024-03-29,"TOMS RIVER, NJ"
Interest Group,3000.0,nan nan,,,2024-03-19,"NUTLEY, NJ"
Interest Group,8000.0,nan nan,,,2024-03-07,"WASHINGTON, DC"
Interest Group,8000.0,nan nan,,,2024-03-07,"WASHINGTON, DC"
Interest Group,9000.0,nan nan,,,2024-03-07,"WASHINGTON, DC"
Interest Group,5200.0,nan nan,,,2024-01-11,"NORTH BERGEN, NJ"
Interest Group,11200.0,nan nan,,,2024-03-19,"NORTH BERGEN, NJ"
Interest Group,2042.0,nan nan,,,2024-03-29,"BAY HEAD, NJ"
Interest Group,1000.0,nan nan,,,2024-12-29,"TOMS RIVER, NJ"
Interest Group,900.0,nan nan,,,2024-08-07,"NORTH BERGEN, NJ"
Interest Group,-900.0,nan nan,,,2024-10-22,"NORTH BERGEN, NJ"
Interest Group,1500.0,nan nan,,,2025-12-12,"BORDENTOWN, NJ"
Interest Group,2500.0,nan nan,,,2023-11-06,"BORDENTOWN, NJ"
Interest Group,3000.0,nan nan,,,2024-12-29,"EDISON, NJ"
Interest Group,4200.0,nan nan,,,2023-12-29,"TOMS RIVER, NJ"
Interest Group,5200.0,nan nan,,,2023-12-28,"TOMS RIVER, NJ"
Interest Group,5200.0,nan nan,,,2023-12-28,"LAKEWOOD, NJ"
Interest Group,5200.0,nan nan,,,2023-12-28,"ROSELAND, NJ"
Interest Group,16400.0,nan nan,,,2023-12-05,"SPRINGFIELD, NJ"
Interest Group,47.57,nan nan,,,2024-10-31,"WAYNE, NJ"
Interest Group,44.45,nan nan,,,2024-11-29,"WAYNE, NJ"
Interest Group,71.14,nan nan,,,2024-09-30,"WAYNE, NJ"
Interest Group,99.95,nan nan,,,2024-08-30,"WAYNE, NJ"
Interest Group,105.55,nan nan,,,2024-07-31,"WAYNE, NJ"
Interest Group,46.12,nan nan,,,2024-12-31,"WAYNE, NJ"
Interest Group,29.69,nan nan,,,2023-12-31,"WAYNE, NJ"
Interest Group,3.71,nan nan,,,2023-11-30,"WAYNE, NJ"
Other,1755.0,nan nan,,,2024-02-21,
Other,2950.0,nan nan,,,2024-03-31,
Other,649.0,nan nan,,,2023-12-02,
Other,1450.0,nan nan,,,2023-12-27,
Other,1510.0,nan nan,,,2023-12-03,
Other,2587.0,nan nan,,,2023-12-15,
Other,4199.0,nan nan,,,2023-11-09,
Candidate,1000.0,nan nan,,,2024-05-01,"SPRING LAKE, NJ"
Candidate,2500.0,nan nan,,,2024-06-30,"PARAMUS, NJ"
Candidate,5000.0,nan nan,,,2024-06-13,"WEST NEW YORK, NJ"
Candidate,5000.0,nan nan,,,2024-06-18,"JERSEY CITY, NJ"
Candidate,5000.0,nan nan,,,2024-06-30,"UNION CITY, NJ"
Candidate,350.0,nan nan,,,2024-03-28,"NEWARK, NJ"
Candidate,1000.0,nan nan,,,2024-03-27,"CARTERET, NJ"
Candidate,1000.0,nan nan,,,2024-03-27,"CARTERET, NJ"
Candidate,1000.0,nan nan,,,2024-03-26,"CARTERET, NJ"
Candidate,5000.0,nan nan,,,2024-03-26,"CARTERET, NJ"
Candidate,1200.0,nan nan,,,2024-03-29,"JERSEY CITY, NJ"
Candidate,5200.0,nan nan,,,2024-03-29,"JERSEY CITY, NJ"
Candidate,2500.0,nan nan,,,2023-12-04,"WEST ORANGE, NJ"
Candidate,5200.0,nan nan,,,2023-12-28,"RIDGEWOOD, NJ"
Candidate,5000.0,nan nan,,,2023-12-05,"CARTERET, NJ"
Candidate,500.0,nan nan,,,2023-12-19,"CARTERET, NJ"
Candidate,5000.0,nan nan,,,2023-12-29,"JERSEY CITY, NJ"
Candidate,5000.0,nan nan,,,2023-12-29,"JERSEY CITY, NJ"
Candidate,16400.0,nan nan,,,2023-12-29,"OAKHURST, NJ"
Candidate,-2000.0,nan nan,,,2024-03-31,"OAKHURST, NJ"
Corporate,16400.0,nan nan,,,2023-11-06,"PHILADELPHIA, PA"
Unknown,1000.0,nan nan,,,2024-04-18,"MORRISTOWN, NJ"
Unknown,1000.0,nan nan,,,2024-03-06,"FRANKLIN LAKES, NJ"
Unknown,1510.92,nan nan,,,2024-03-31,"JERSEY CITY, NJ"
Unknown,2556.0,nan nan,,,2024-03-29,"JERSEY CITY, NJ"
Unknown,5000.0,nan nan,,,2024-07-01,"MONROE TOWNSHIP, NJ"
Unknown,-4800.0,nan nan,,,2024-10-22,"MONROE TOWNSHIP, NJ"
Unknown,2500.0,nan nan,,,2024-12-01,"WASHINGTON, DC"
Unknown,5000.0,nan nan,,,2023-12-22,"MONROE TOWNSHIP, NJ"
Political Committee,1000.0,nan nan,,,2024-09-17,"PHILADELPHIA, PA"
Political Committee,300.0,nan nan,,,2024-05-19,"BRICK, NJ"
Political Committee,500.0,nan nan,,,2024-03-26,"LAWRENCEVILLE, NJ"
Political Committee,1000.0,nan nan,,,2024-03-11,"SOMERVILLE, MA"
Political Committee,2500.0,nan nan,,,2024-03-28,"CARTERET, NJ"
Political Committee,2500.0,nan nan,,,2024-03-28,"TRENTON, NJ"
Political Committee,5000.0,nan nan,,,2024-03-08,"CLARK, NJ"
Political Committee,1000.0,nan nan,,,2023-12-05,"NEWARK, NJ"
Political Committee,1000.0,nan nan,,,2024-10-19,"EDISON, NJ"
Political Committee,1500.0,nan nan,,,2024-09-18,"CLARK, NJ"
Political Committee,2500.0,nan nan,,,2023-11-02,"NORTH BRUNSWICK, NJ"
Individual - Small,1000.0,BRENDA ABRAMS,SAUL EWING LLP,ATTORNEY,2024-03-15,"PRINCETON, NJ"
Individual - Small,1000.0,RENE ABREU,ABREU PROPERTY MANAGEMENT LLC,REAL ESTATE,2024-04-16,"HOBOKEN, NJ"
Individual - Small,1000.0,JOSE ACEN,MDC ELECTRICAL CONTRACTOR LLC,CONSTRUCTION TRADE/LABOR TRADE,2024-08-22,"NEWARK, NJ"
Individual - Small,350.0,THOMAS ADAMS,NEWARK BETH ISRAEL,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-04-02,"CEDAR GROVE, NJ"
Individual - Small,500.0,THOMAS ADAMS,NEWARK BETH ISRAEL,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-08-10,"CEDAR GROVE, NJ"
Individual - Small,1000.0,WILLIAM ADELSON,ORLOFF LOWENBACH STIFELMAN AND SIEGEL,ATTORNEY,2024-06-10,"MAPLEWOOD, NJ"
Individual - Small,300.0,JOHN AGNELLO,CRITCHLEY KINUM & LURIA LLC,ATTORNEY,2024-08-10,"NORTH CALDWELL, NJ"
Individual - Small,500.0,KATHY AHEARN-O'BRIEN,HYACINTH FOUNDATION,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2023-12-14,"MONTCLAIR, NJ"
Individual - Large,5000.0,RICHARD ALAIMO,RICHARD A ALAIMO ASSOCIATES,CONSULTANT,2023-12-11,"MOUNT HOLLY, NJ"
Individual - Small,1000.0,CARMINE ALAMPI,SELF-EMPLOYED,ATTORNEY,2023-11-27,"PARAMUS, NJ"
Individual - Small,2500.0,CARMINE ALAMPI,SELF-EMPLOYED,ATTORNEY,2024-02-25,"PARAMUS, NJ"
Individual - Small,2500.0,CARMINE ALAMPI,LAW OFFICE OF CARMINE R ALAMPI LLC,ATTORNEY,2024-04-15,"PARAMUS, NJ"
Individual - Small,2500.0,CARMINE ALAMPI,LAW OFFICE OF CARMINE R ALAMPI LLC,ATTORNEY,2024-06-04,"PARAMUS, NJ"
Individual - Small,-2500.0,CARMINE ALAMPI,LAW OFFICE OF CARMINE R ALAMPI LLC,ATTORNEY,2024-06-30,"PARAMUS, NJ"
Individual - Small,-800.0,CARMINE ALAMPI,LAW OFFICE OF CARMINE R ALAMPI LLC,ATTORNEY,2024-06-29,"PARAMUS, NJ"
Individual - Small,250.0,RICHARD ALDERISO,GROUP ARCHITECTURE,ARCHITECT/SURVEYOR/PLANNER,2024-04-01,"ASBURY PARK, NJ"
Individual - Small,1000.0,ZIAD ALLAN,FOREST FURNITURE,RETAIL SALES,2023-12-21,"STATEN ISLAND, NY"
Individual - Small,500.0,NICHOLAS ALLEN,RETIRED,RETIRED,2024-03-27,"JERSEY CITY, NJ"
Individual - Small,1000.0,ADAM ALTMAN,KABR GROUP,REAL ESTATE,2024-05-14,"OLD WESTBURY, NY"
Individual - Small,500.0,KEILA ALVARADO,FLAMINGLE ENTERTAINMENT LLC,ARTS/ENTERTAINMENT,2024-03-27,"BAYONNE, NJ"
Individual - Small,1000.0,LOUIS ALVAREZ,INTEGRITY CONSTRUCTION LLC,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-06-19,"NORTH BERGEN, NJ"
Individual - Small,250.0,FREDERICK ALWORTH,GIBBONS LAW,ATTORNEY,2024-10-01,"RANDOLPH, NJ"
Individual - Small,500.0,CHRISTINE AMALFE,GIBBONS LAW,ATTORNEY,2024-09-30,"ROSELAND, NJ"
Individual - Small,300.0,MARIO AMAYA,UNION CITY BOARD OF EDUCATION,EDUCATION/PROFESSOR/TEACHER,2024-12-12,"UNION CITY, NJ"
Individual - Small,1000.0,ANTHONY AMBROSE,ANTHONY AMBROSE,CONSULTANT,2023-12-05,"CEDAR GROVE, NJ"
Individual - Small,1000.0,JESAL AMIN,GARDEN STATE MEDICAL HOME,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-03-18,"EAST BRUNSWICK, NJ"
Individual - Small,1000.0,THOMAS ANDRYKOVITZ,THE LAW OFFICES OF THOMAS H ANDRYKOVITZ,ATTORNEY,2023-12-14,"NEW YORK CITY, NY"
Individual - Large,5000.0,DANIEL ANTONELLI,ANTONELLI KANTOR RIVERA,ATTORNEY,2024-03-08,"LIVINGSTON, NJ"
Individual - Large,5200.0,KYLE ANTONUCCI,PHOENIX WAREHOUSE OF NJ,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-01-19,"JERSEY CITY, NJ"
Individual - Small,1000.0,CHRIS ARANJO,AIM ELECTRIC LLC,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-06-12,"JERSEY CITY, NJ"
Individual - Small,4000.0,ALEXANDER ARAUJO,DELMAR ENERGY LLC,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-01-16,"SECAUCUS, NJ"
Individual - Small,250.0,ANTHONY ARDIS,MILLENIUM STRATEGIES,CONSULTANT,2024-01-24,"PATERSON, NJ"
Individual - Small,200.0,ANTHONY ARDIS,MILLENIUM STRATEGIES,CONSULTANT,2024-12-12,"PATERSON, NJ"
Individual - Small,300.0,ANTHONY ARDIS,MILLENIUM STRATEGIES,CONSULTANT,2024-01-12,"PATERSON, NJ"
Individual - Small,500.0,GUILLERMO ARTILES,MCCARTER & ENGLISH LLP,ATTORNEY,2023-12-29,"ESSEX FELLS, NJ"
Individual - Small,1000.0,JONATHAN AUERBACH,RADULESCU LLP,ATTORNEY,2024-06-11,"MANHATTAN, NY"
Individual - Small,250.0,ANNA BAGER,MARBLEJAM KIDS INC,MANAGEMENT/ADMINISTRATOR/EXECUTIVE,2024-01-31,"HACKENSACK, NJ"
Individual - Small,1000.0,RIZWAN BAKHSH,UYAIRE MEDICAL,ENGINEER,2023-12-03,"JERSEY CITY, NJ"
Individual - Large,5000.0,EMANUELE BARDAZZI,387 EIGHT HOLDINGS LLC,ATTORNEY,2024-02-13,"NEW YORK CITY, NY"
Individual - Small,300.0,DANIEL BARNES,CSG LAW,ATTORNEY,2023-12-12,"WAYNE, NJ"
Individual - Small,200.0,DANIEL BARNES,CSG LAW,ATTORNEY,2024-12-06,"WAYNE, NJ"
